date,team,player,status,player_normalized
2026-05-13,MIN,Anthony Edwards,Projected,anthony edwards
2026-05-13,MIN,Julius Randle,Projected,julius randle
2026-05-13,MIN,Rudy Gobert,Projected,rudy gobert
2026-05-13,MIN,Jaden McDaniels,Projected,jaden mcdaniels
2026-05-13,MIN,Mike Conley,Projected,mike conley
2026-05-13,SAS,Victor Wembanyama,Projected,victor wembanyama
2026-05-13,SAS,De'Aaron Fox,Projected,deaaron fox
2026-05-13,SAS,Devin Vassell,Projected,devin vassell
2026-05-13,SAS,Keldon Johnson,Projected,keldon johnson
2026-05-13,SAS,Jeremy Sochan,Projected,jeremy sochan
